First,Last,Party,State
John,Patterson,R,SC
Aaron,Sargent,R,CA
Bainbridge,Wadleigh,R,NH
George,Boutwell,R,MA
Robert,Crozier,R,KS
John,Hager,D,CA
Henry,Pease,R,MS
James,Harvey,R,KS
William,Washburn,R,MA
William,Eaton,D,CT
Blanche,Bruce,R,MS
Ambrose,Burnside,R,RI
Angus,Cameron,R,WI
Allen,Caperton,D,WV
Isaac,Christiancy,R,MI
Francis,Cockrell,D,MO
Henry,Dawes,R,MA
Charles,Jones,D,FL
Francis,Kernan,D,NY
Samuel,Maxey,D,TX
Algernon,Paddock,R,NE
Theodore,Randolph,D,NJ
William,Sharon,R,NV
William,Wallace,D,PA
Robert,Withers,D,VA
David,Key,D,TN
James,English,D,CT
James,Eustis,D,LA
William,Barnum,D,CT
James,Blaine,R,ME
Samuel,Price,D,WV
Henry,Teller,R,CO
Jerome,Chaffee,R,CO
James,Bailey,D,TN
Frank,Hereford,D,WV
James,Beck,D,KY
Mathew,Butler,D,SC
Richard,Coke,D,TX
David,Davis,I,IL
Augustus,Garland,D,AR
Isham,Harris,D,TN
Benjamin,Hill,D,GA
George,Hoar,R,MA
John,Morgan,D,AL
Preston,Plumb,R,KS
Edward,Rollins,R,NH
Alvin,Saunders,R,NE
Stanley,Matthews,R,OH
David,Armstrong,D,MO
Daniel,Voorhees,D,IN
James,Shields,D,MO
Wilkinson,Call,D,FL
James,Farley,D,CA
James,Groome,D,MD
Wade,Hampton,D,SC
Nathaniel,Hill,R,CO
George,Houston,D,AL
Benjamin,Jonas,D,LA
George,Pendleton,D,OH
Orville,Platt,R,CT
James,Slater,D,OR
Zebulon,Vance,D,NC
George,Vest,D,MO
James,Walker,D,AR
Charles,Bell,R,NH
Henry,Blair,R,NH
Henry,Baldwin,R,MI
Luke,Pryor,D,AL
Joseph,Brown,D,GA
James,Pugh,D,AL
Omar,Conger,R,MI
James,Fair,D,NV
James,George,D,MS
Arthur,Gorman,D,MD
Eugene,Hale,R,ME
Benjamin,Harrison,R,IN
Joseph,Hawley,R,CT
Howell,Jackson,D,TN
John,Miller,R,CA
John,Mitchell,R,PA
Thomas,Platt,R,NY
Philetus,Sawyer,R,WI
William,Sewell,R,NJ
Charles,Wyck,R,NE
William,Frye,R,ME
Warner,Miller,R,NY
Elbridge,Lapham,R,NY
Nelson,Aldrich,R,RI
George,Chilcott,R,CO
Pope,Barrow,D,GA
Thomas,Bowen,R,CO
Shelby,Cullom,R,IL
Alfred,Colquitt,D,GA
Joseph,Dolph,R,OR
Randall,Gibson,D,LA
John,Kenna,D,WV
Charles,Manderson,R,NE
Thomas,Palmer,R,MI
Austin,Pike,R,NH
Dwight,Sabin,R,MN
James,Wilson,R,IA
William,Sheffield,R,RI
Jonathan,Chace,R,RI
William,Evarts,R,NY
James,Jones,D,AR
Henry,Payne,D,OH
Leland,Stanford,R,CA
Edward,Walthall,D,MS
George,Gray,D,DE
James,Berry,D,AR
George,Hearst,D,CA
Washington,Whitthorne,D,TN
Abram,Williams,R,CA
Person,Cheney,R,NH
Charles,Farwell,R,IL
William,Bate,D,TN
Rufus,Blodgett,D,NJ
John,Daniel,D,VA
Cushman,Davis,R,MN
Charles,Faulkner,D,WV
Frank,Hiscock,R,NY
Matthew,Quay,R,PA
John,Reagan,D,TX
Francis,Stockbridge,R,MI
Samuel,Pasco,D,FL
William,Chandler,R,NH
Anthony,Higgins,R,DE
Gilman,Marston,R,NH
William,Washburn,R,MN
Edward,Wolcott,R,CO
Nathan,Dixon,R,RI
Gideon,Moody,R,SD
John,Allen,R,WA
Watson,Squire,R,WA
Gilbert,Pierce,R,ND
Lyman,Casey,R,ND
Wilbur,Sanders,R,MT
Thomas,Power,R,MT
John,Carlisle,D,KY
Joseph,Carey,R,WY
Francis,Warren,R,WY
George,Shoup,R,ID
Calvin,Brice,D,OH
Fred,Dubois,R,ID
Jacob,Gallinger,R,NH
Henry,Hansbrough,R,ND
John,Palmer,D,IL
William,Vilas,D,WI
Edward,White,D,LA
Charles,Felton,R,CA
Horace,Chilton,D,TX
Redfield,Proctor,R,VT
Charles,Gibson,D,MD
Bishop,Perkins,R,KS
David,Hill,D,NY
Roger,Mills,D,TX
Eppa,Hunton,D,VA
Donelson,Caffery,D,LA
Johnson,Camden,D,WV
William,Lindsay,D,KY
William,Roach,D,ND
Stephen,White,D,CA
John,Martin,D,KS
John,Mitchell,D,WI
George,Perkins,R,CA
Newton,Blanchard,D,LA
Patrick,Walsh,D,GA
Thomas,Jarvis,D,NC
Julius,Burrows,R,MI
Jeter,Pritchard,R,NC
Clarence,Clark,R,WY
John,Wilson,R,WA
Augustus,Bacon,D,GA
Lucien,Baker,R,KS
Tom,Carter,R,MT
Stephen,Elkins,R,WV
John,Gear,R,IA
Thomas,Martin,D,VA
Knute,Nelson,R,MN
John,Thurston,R,NE
