First,Last,Party,State
Henry,Bellmon,R,OK
Alan,Cranston,D,CA
Robert,Dole,R,KS
Mike,Gravel,D,AK
Edward,Gurney,R,FL
Harold,Hughes,D,IA
Robert,Packwood,R,OR
William,Saxbe,R,OH
Richard,Schweiker,R,PA
Ralph,Smith,R,IL
John,Tunney,D,CA
Lloyd,Bentsen,D,TX
David,Gambrell,D,GA
Robert,Stafford,R,VT
Elaine,Edwards,D,LA
Samuel,Nunn,D,GA
James,Abourezk,D,SD
Dewey,Bartlett,R,OK
Dick,Clark,D,IA
Pete,Domenici,R,NM
Floyd,Haskell,D,CO
William,Hathaway,D,ME
Jesse,Helms,R,NC
Walter,Huddleston,D,KY
William,Scott,R,VA
Howard,Metzenbaum,D,OH
Paul,Laxalt,R,NV
Wendell,Ford,D,KY
Louis,Wyman,R,NH
Richard,Stone,D,FL
Dale,Bumpers,D,AR
John,Culver,D,IA
Gary,Hart,D,CO
Patrick,Leahy,D,VT
Robert,Morgan,D,NC
John,Durkin,D,NH
John,Danforth,R,MO
Edward,Zorinsky,D,NE
John,Chafee,R,RI
Wendell,Anderson,D,MN
Orrin,Hatch,R,UT
Richard,Lugar,R,IN
Spark,Matsunaga,D,HI
John,Melcher,D,MT
Daniel,Moynihan,D,NY
Paul,Sarbanes,D,MD
James,Sasser,D,TN
Harrison,Schmitt,R,NM
Malcolm,Wallop,R,WY
Paul,Hatfield,D,MT
Muriel,Humphrey,D,MN
Maryon,Allen,D,AL
Donald,Stewart,D,AL
David,Durenberger,R,MN
Max,Baucus,D,MT
Nancy,Kassebaum,R,KS
Thad,Cochran,R,MS
Rudy,Boschwitz,R,MN
Alan,Simpson,R,WY
John,Warner,R,VA
William,Armstrong,R,CO
David,Boren,D,OK
Bill,Bradley,D,NJ
William,Cohen,R,ME
Howell,Heflin,D,AL
Gordon,Humphrey,R,NH
Roger,Jepsen,R,IA
Carl,Levin,D,MI
Larry,Pressler,R,SD
David,Pryor,D,AR
Paul,Tsongas,D,MA
George,Mitchell,D,ME
Warren,Rudman,R,NH
Paula,Hawkins,R,FL
Jeremiah,Denton,R,AL
James,Abdnor,R,SD
Mark,Andrews,R,ND
Alfonse,Amato,R,NY
Alan,Dixon,D,IL
Christopher,Dodd,D,CT
John,East,R,NC
Slade,Gorton,R,WA
Charles,Grassley,R,IA
Mack,Mattingly,R,GA
Frank,Murkowski,R,AK
Don,Nickles,R,OK
Steven,Symms,R,ID
Nicholas,Brady,R,NJ
Frank,Lautenberg,D,NJ
Jeff,Bingaman,D,NM
Chic,Hecht,R,NV
Pete,Wilson,R,CA
Daniel,Evans,R,WA
John,Kerry,D,MA
Phil,Gramm,R,TX
Tom,Harkin,D,IA
Paul,Simon,D,IL
James,Broyhill,R,NC
Terry,Sanford,D,NC
Brock,Adams,D,WA
John,Breaux,D,LA
Kent,Conrad,D,ND
Kit,Bond,R,MO
Tom,Daschle,D,SD
Wyche,Fowler,D,GA
Bob,Graham,D,FL
Barbara,Mikulski,D,MD
Harry,Reid,D,NV
Timothy,Wirth,D,CO
David,Karnes,R,NE
Richard,Bryan,D,NV
Conrad,Burns,R,MT
Dan,Coats,R,IN
Bob,Kerrey,D,NE
Herbert,Kohl,D,WI
Joseph,Lieberman,D,CT
Trent,Lott,R,MS
Connie,Mack,R,FL
Charles,Robb,D,VA
Daniel,Akaka,D,HI
Robert,Smith,R,NH
Larry,Craig,R,ID
Paul,Wellstone,D,MN
John,Seymour,R,CA
Harris,Wofford,D,PA
Jocelyn,Burdick,D,ND
Dianne,Feinstein,D,CA
Byron,Dorgan,D,ND
Harlan,Mathews,D,TN
Robert,Bennett,R,UT
Barbara,Boxer,D,CA
Paul,Coverdell,R,GA
Russell,Feingold,D,WI
Judd,Gregg,R,NH
Dirk,Kempthorne,R,ID
Carol,Braun,D,IL
Patty,Murray,D,WA
Robert,Krueger,D,TX
James,Inhofe,R,OK
Fred,Thompson,R,TN
Spencer,Abraham,R,MI
John,Ashcroft,R,MO
Bill,Frist,R,TN
Rod,Grams,R,MN
Jon,Kyl,R,AZ
Rick,Santorum,R,PA
Olympia,Snowe,R,ME
Craig,Thomas,R,WY
Ron,Wyden,D,OR
Sheila,Frahm,R,KS
Wayne,Allard,R,CO
Max,Cleland,D,GA
Susan,Collins,R,ME
Richard,Durbin,D,IL
Michael,Enzi,R,WY
Chuck,Hagel,R,NE
Tim,Hutchinson,R,AR
Tim,Johnson,D,SD
Mary,Landrieu,D,LA
Jack,Reed,D,RI
Pat,Roberts,R,KS
Jeff,Sessions,R,AL
Gordon,Smith,R,OR
Robert,Torricelli,D,NJ
Evan,Bayh,D,IN
Jim,Bunning,R,KY
Mike,Crapo,R,ID
John,Edwards,D,NC
Peter,Fitzgerald,R,IL
Blanche,Lincoln,D,AR
Charles,Schumer,D,NY
George,Voinovich,R,OH
George,Allen,R,VA
Maria,Cantwell,D,WA
Tom,Carper,D,DE
Jon,Corzine,D,NJ
Mark,Dayton,D,MN
John,Ensign,R,NV
Ben,Nelson,D,NE
Bill,Nelson,D,FL
Debbie,Stabenow,D,MI
James,Talent,R,MO
Lamar,Alexander,R,TN
Saxby,Chambliss,R,GA
Norm,Coleman,R,MN
Elizabeth,Dole,R,NC
Lindsey,Graham,R,SC
Mark,Pryor,D,AR
John,Sununu,R,NH
Richard,Burr,R,NC
Tom,Coburn,R,OK
Johnny,Isakson,R,GA
Mel,Martinez,R,FL
Barack,Obama,D,IL
Ken,Salazar,D,CO
John,Thune,R,SD
David,Vitter,R,LA
Sherrod,Brown,D,OH
Ben,Cardin,D,MD
Robert,Casey,D,PA
Robert,Corker,R,TN
Amy,Klobuchar,D,MN
Bernie,Sanders,I,VT
Jon,Tester,D,MT
Jim,Webb,D,VA
Sheldon,Whitehouse,D,RI
Roger,Wicker,R,MS
Mark,Begich,D,AK
Kay,Hagan,D,NC
Mike,Johanns,R,NE
Jeff,Merkley,D,OR
Jim,Risch,R,ID
Jeanne,Shaheen,D,NH
Mark,Udall,D,CO
Tom,Udall,D,NM
Mark,Warner,D,VA
Scott,Brown,R,MA
Christopher,Coons,D,DE
Joe,Manchin,D,WV
Kelly,Ayotte,R,NH
Richard,Blumenthal,D,CT
Roy,Blunt,R,MO
John,Boozman,R,AR
Daniel,Coats,R,IN
John,Hoeven,R,ND
Ron,Johnson,R,WI
Mike,Lee,R,UT
Jerry,Moran,R,KS
Rand,Paul,R,KY
Rob,Portman,R,OH
Marco,Rubio,R,FL
Pat,Toomey,R,PA
Tammy,Baldwin,D,WI
Ted,Cruz,R,TX
Joe,Donnelly,D,IN
Deb,Fischer,R,NE
Jeff,Flake,R,AZ
Heidi,Heitkamp,D,ND
Martin,Heinrich,D,NM
Mazie,Hirono,D,HI
Tim,Kaine,D,VA
Angus,King,I,ME
Chris,Murphy,D,CT
Elizabeth,Warren,D,MA
Edward,Markey,D,MA
Cory,Booker,D,NJ
Bill,Cassidy,R,LA
Tom,Cotton,R,AR
Steve,Daines,R,MT
Joni,Ernst,R,IA
Cory,Gardner,R,CO
James,Lankford,R,OK
David,Perdue,R,GA
Gary,Peters,D,MI
Mike,Rounds,R,SD
Ben,Sasse,R,NE
Dan,Sullivan,R,AK
Thom,Tillis,R,NC
Catherine,Masto,D,NV
Tammy,Duckworth,D,IL
Maggie,Hassan,D,NH
Kamala,Harris,D,CA
John,Kennedy,R,LA
Chris,Hollen,D,MD
Todd,Young,R,IN
Luther,Strange,R,AL
Doug,Jones,D,AL
Marsha,Blackburn,R,TN
Mike,Braun,R,IN
Kevin,Cramer,R,ND
Josh,Hawley,R,MO
Mitt,Romney,R,UT
Jacky,Rosen,D,NV
Kyrsten,Sinema,D,AZ
Kelly,Loeffler,R,GA
Mark,Kelly,D,AZ
Cynthia,Lummis,R,WY
Roger,Marshall,R,KS
Jon,Ossoff,D,GA
Raphael,Warnock,D,GA
Katie,Britt,R,AL
Ted,Budd,R,NC
John,Fetterman,D,PA
Markwayne,Mullin,R,OK
Eric,Schmitt,R,MO
James,Vance,R,OH
Peter,Welch,D,VT
Comer,Clement,D,AL
Hickman,Thomas,D,MS
Elliott,Daniel,D,SC
Levy,David,D,FL
Stuart,Henry,D,MS
Barnwell,Robert,D,SC
Myrick,Lot,R,ME
Read,George,D,DE
Pitt,William,R,ME
Henry,George,R,OR
Pinkney,William,D,MD
Fayette,La,D,OR
Donald,James,R,PA
Stuart,John,D,KY
Coit,John,R,WI
King,Ephraim,D,MD
Cabot,Henry,R,MA
Amberg,Van,D,MS
Murray,Winthrop,R,MA
Alden,William,R,MI
Peabody,George,R,RI
Walter,John,D,MD
LeRoy,Percy,D,MS
Sharp,John,D,MS
Hamilton,James,D,IL
Nelson,Robert,R,OR
Wharton,George,R,PA
Cabell,William,D,MD
Moffet,Samuel,D,IN
Lee,Phillips,R,MD
Flood,Harry,D,VA
Gibbs,William,D,CA
Louis,Richard,D,IA
Bibb,Dixie,D,AL
Evan,Alfred,D,OR
Jackson,Andrew,D,TX
Sherman,John,R,KY
Chase,Margaret,R,ME
Foster,John,R,NY
Bailey,Ann,R,TX
Rodham,Hillary,D,NY
Shelley,Moore,R,WV
Lujan,Ben Ray,D,NM
John Peter,Ricketts,R,NE
Laphonza,Butler,D,CA
Alex,Padilla,D,CA
Thomas,Tuberville,R,AL
John,Hickenlooper,D,CO
William,Hagerty,R,TN
Rick,Scott,R,FL
John,Cornyn,R,TX
