Date,Price,Partisan Investing,Job Postings,Equity Investment,Risk Free Rate,Twitter Posts,Twitter Impressions,Twitter Sentiment,Peer Twitter Posts,Peer Twitter Impressions,Peer Twitter Sentiment,Investment in R&D,Environmental Score,Social Score,Governance Score,Peer Investments in R&D,Peer Environmental Score,Peer Social Score,Peer Governance Score,Bipartisan Buying,Bipartisan Selling
2022-01-01,352.26,0.5,1.0,1.0,0.011764705882352941,82.0,87.059,,18.333333333333336,13.691666666666668,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,4.219111383341668e-12,-500.0312500000604
2022-01-02,352.26,0.5,0.9975069925817828,1.0,0.011764705882352941,192.0,658.046,,9.5,8.430833333333332,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,2.109555691670834e-12,-250.0156250000302
2022-01-03,399.93,0.5,0.9942235193968137,1.0,0.009803921568627453,1034.0,7539.459,,43.833333333333336,122.937,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,1.054777845835417e-12,-125.0078125000151
2022-01-04,383.2,0.5,0.9918521220965584,1.0,0.011764705882352941,382.0,1121.068,,66.0,640.4161666666666,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,5.273889229177085e-13,-62.50390625000755
2022-01-05,362.71,0.5,0.9899671652681503,1.0,0.009803921568627453,249.0,595.239,,34.333333333333336,39.381833333333326,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,2.636944614588543e-13,-31.251953125003777
2022-01-06,354.9,0.5,0.9879605983217803,1.0,0.00784313725490196,307.0,823.3,,27.666666666666664,59.1635,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,1.3184723072942716e-13,-15.625976562501888
2022-01-07,342.32,0.5,0.9866836920831813,1.0,0.009803921568627453,389.0,612.861,,33.66666666666667,85.73866666666666,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,6.592361536471358e-14,-7.812988281250944
2022-01-08,342.32,0.5,0.9845555150188494,1.0,0.009803921568627453,110.0,181.879,,8.666666666666668,44.1075,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,3.2961807682356784e-14,-3.906494140625472
2022-01-09,342.32,0.5,0.9853459807856014,1.0,0.009803921568627453,153.0,1393.699,,8.333333333333332,63.35883333333333,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,1.6480903841178392e-14,-1.953247070312736
2022-01-10,352.71,0.5,0.9860148364343913,1.0,0.009803921568627453,169.0,363.568,,30.0,107.95233333333334,0.0,0.0481764301513567,65.28,54.29,55.77,307.511481299458,61.43,61.0125,61.99625,8.240451920589196e-15,-0.976623535156368
